N(bp),J(1HU/50),2HUpro,3HUpro,4HUpro,2HUconfig,3HUconfig,4HUconfig
139,2.19E-05,0.486687225,0.349258509,0.153216677,1.37E+05,9.85E+04,4.32E+04
140,2.47E-05,0.387770154,0.422391985,0.177726026,1.24E+05,1.35E+05,5.67E+04
141,2.28E-05,0.283929071,0.461320825,0.23865395,8.33E+04,1.35E+05,7.01E+04
142,1.78E-05,0.19061737,0.440381932,0.343891699,4.37E+04,1.01E+05,7.89E+04
143,1.24E-05,0.117507901,0.356247458,0.486003067,1.88E+04,5.70E+04,7.77E+04
144,8.76E-06,0.080112575,0.239948314,0.619828128,9.06E+03,2.71E+04,7.01E+04
145,6.63E-06,0.10503651,0.154839918,0.658841977,8.98E+03,1.32E+04,5.63E+04
146,6.44E-06,0.240945147,0.133935987,0.543435608,2.00E+04,1.11E+04,4.52E+04
147,7.85E-06,0.38943206,0.168652069,0.377598735,3.94E+04,1.71E+04,3.82E+04
148,1.15E-05,0.473974206,0.223895157,0.25999556,7.05E+04,3.33E+04,3.87E+04
149,1.56E-05,0.458647329,0.298019521,0.21089538,9.20E+04,5.98E+04,4.23E+04
