Sequence,Lac,Proteins,Orientation,Seed1,Seed2,Energy,nProteins,Tw,Wr,Lk,Angle
105,minicircle,HU+87,MC,784001,135169,292.377,2,10.039,-0.039,10.000,0.000
105,minicircle,HU+87,MC,636084,170235,303.558,2,9.942,0.058,10.000,0.000
105,minicircle,HU+87,MC,710621,225160,356.634,2,10.057,-0.057,10.000,0.000
105,minicircle,HU+87,MC,545124,85145,313.026,2,10.029,-0.029,10.000,0.000
105,minicircle,HU+87,MC,303474,215203,318.368,2,9.879,0.121,9.000,0.000
105,minicircle,HU+87,MC,981285,195063,318.365,2,9.949,0.051,10.000,0.000
105,minicircle,HU+87,MC,898532,5038,310.157,2,9.999,0.001,10.000,0.000
105,minicircle,HU+87,MC,102806,145124,307.204,2,9.880,0.120,9.000,0.000
105,minicircle,HU+87,MC,642927,125007,312.211,2,10.074,-0.074,10.000,0.000
105,minicircle,HU+87,MC,454823,165116,287.224,2,10.024,-0.024,10.000,0.000
105,minicircle,HU+87,MC,297309,190089,312.042,2,10.004,-0.004,10.000,0.000
105,minicircle,HU+87,MC,826891,35007,334.032,2,10.034,-0.034,10.000,0.000
105,minicircle,HU+87,MC,957256,80003,331.816,2,9.858,0.142,10.000,0.000
105,minicircle,HU+87,MC,112966,25008,341.162,2,9.991,0.009,10.000,0.000
105,minicircle,HU+87,MC,490403,40092,325.381,2,9.956,0.044,10.000,0.000
105,minicircle,HU+87,MC,607160,210115,297.086,2,9.946,0.054,10.000,0.000
105,minicircle,HU+87,MC,320041,55017,314.427,2,10.016,-0.016,10.000,0.000
105,minicircle,HU+87,MC,567672,205054,312.979,3,9.926,0.074,10.000,0.000
105,minicircle,HU+87,MC,615385,175,288.498,2,8.937,0.063,9.000,0.000
105,minicircle,HU+87,MC,281403,10048,294.269,2,9.979,0.021,10.000,0.000
105,minicircle,HU+87,MC,572642,115030,297.201,2,10.009,-0.009,10.000,0.000
105,minicircle,HU+87,MC,969047,140204,302.600,2,9.990,0.010,10.000,0.000
105,minicircle,HU+87,MC,241140,30040,310.661,2,9.919,0.081,10.000,0.000
105,minicircle,HU+87,MC,711608,150191,326.333,2,10.024,-0.024,10.000,0.000
105,minicircle,HU+87,MC,253742,220085,306.582,2,9.903,0.097,10.000,0.000
105,minicircle,HU+87,MC,92453,90064,317.199,2,9.998,0.002,10.000,0.000
