N(bp),seed1,seed2,nProtein,pca1,pca2,pca3,positions
105,574921,175084,2,47.478346365645244, 25.348606716161232, 2.706346613951605,26, 78
105,538387,145088,2,46.125736440113336, 26.78562801018224, 4.863459958236275,22, 75
105,406520,135156,2,48.27515105791027, 25.00980770608402, 1.7796266249790702,26, 78
105,815044,170169,2,46.97186300116347, 26.469328266283732, 4.405786439687429,32, 84
105,61706,215198,2,46.24960308975717, 23.155381330344756, 4.12506489350705,27, 79
105,888103,125007,2,44.202127761960526, 27.991365003594805, 2.404953280219867,19, 71
105,409068,5010,2,49.05627382142366, 31.200980771676516, 3.90926951207488,1, 65
105,479885,35007,2,46.54990491589905, 29.55946934275967, 3.1732155075088935,11, 64
105,256398,80003,2,49.02063821338536, 23.241343825637866, 6.405142763629044,36, 89
105,560071,25003,2,46.667340826861405, 24.65263108136159, 4.445393927683553,13, 66
105,265888,140007,2,47.17214570230365, 21.63589232482333, 5.690343365342284,3, 55
105,540142,19,2,49.39998778758229, 23.125235193931694, 4.638245275943503,1, 53
105,939012,40092,2,51.662707098896824, 26.416740966395327, 4.700875933560578,26, 78
105,999914,210115,2,47.30989688461342, 26.387053048808355, 7.860850361774975,3, 56
105,280757,190050,2,44.009043454949115, 25.65919651039364, 4.414740985231268,34, 76
105,74468,20187,2,49.70288581225186, 28.442061187604356, 3.029777960628424,39, 91
105,758354,205044,2,49.86124203077346, 24.79697441690814, 5.370206267571379,12, 65
105,800196,55017,2,51.387046587703885, 22.199694483760577, 6.256875872313813,11, 63
105,983368,10029,2,46.117909085898475, 26.477576892372397, 2.8837437047030483,7, 59
105,707994,150136,2,48.69310134708656, 22.29305096311946, 6.606898935330712,14, 67
105,952207,220025,2,47.17130119811185, 19.419527993832578, 9.079412620595756,8, 61
105,266787,115030,2,49.14245974019375, 26.35348253425955, 3.4295518948994834,33, 86
105,938543,30040,2,49.45699116377248, 23.549023871243474, 2.0796429898100914,27, 79
105,180924,155043,2,47.23601314104684, 27.193107541022986, 2.3557628544917124,19, 72
105,801214,90041,2,51.88202477885846, 24.74698103193069, 2.305489830386646,32, 85
105,609518,110042,2,45.910267431379836, 28.65636239695523, 3.238740683774224,12, 54
105,660038,75081,2,46.22494465784994, 24.5963480003511, 4.4183131831438835,37, 78
105,938711,70051,2,44.68336157516133, 25.868990423080547, 5.423971748860087,27, 69
105,346337,15086,2,48.54033310409286, 26.105828028530155, 1.8689081857429544,29, 82
105,140482,230124,2,46.78024313086828, 23.033060472124053, 2.9270540465489674,5, 58
105,325036,95057,2,49.76606670500493, 25.081501781992717, 4.833558584155563,12, 65
105,607097,50060,2,47.964355027397815, 26.839591874887827, 2.4913242362047514,8, 61
105,713896,200049,2,46.453351447073025, 26.14282686475131, 4.451931209086596,7, 60
105,895680,105129,2,44.93705741300186, 25.040983032001385, 6.809920170375164,29, 82
105,663468,160062,2,45.15170940663668, 24.365729953237967, 5.853429910785331,30, 82
105,534792,100080,2,46.138411657951686, 30.383215034666666, 8.255149156525361,10, 74
105,623563,60050,2,45.70626393803179, 28.140717994001648, 3.884197831520858,33, 86
105,8229,130071,2,47.34406486639026, 22.76265097424391, 4.972132314430936,6, 58
105,243915,185067,2,46.82692387885766, 22.362154669025124, 5.375305732654192,16, 69
105,635896,235101,2,48.296592306716946, 27.130065138604976, 3.1052445225831953,30, 83
105,393439,120074,2,48.64076228464051, 24.76688963073089, 2.253592642852996,6, 59
105,437452,180082,2,50.856245153813475, 24.367150351704456, 3.704556867412408,21, 73
105,539547,65145,2,49.57215808016179, 25.38165567936332, 4.23277073772284,36, 88
105,520665,45142,2,48.816604078487124, 22.24592164892686, 2.7068071461939813,2, 55
105,913100,175084,2,47.3060632305338, 25.21725821014505, 3.158897615421919,26, 78
105,40117,225093,2,49.14814101962489, 29.714635211949854, 4.104209289915299,4, 56
105,94293,145101,3,42.197499327178235, 30.87085795239976, 10.257133022903178,6, 47, 88
105,259238,135169,2,49.90218045590615, 27.02477511527344, 4.500790322483014,22, 74
105,87314,170235,2,48.8302852062901, 26.28617770169299, 2.786824862390211,27, 79
105,368047,85145,2,48.45304076563048, 26.35546509438833, 2.54868844191872,16, 69
105,972638,215203,2,45.63885790715814, 28.36826829166697, 2.710574602448755,8, 60
105,689496,165096,3,47.22293121137424, 24.69468787001377, 6.378520639126622,9, 49, 72
105,152146,195063,2,51.30470437200761, 25.018855070276764, 3.1561959358499627,8, 61
105,755950,5038,2,47.13343135830743, 23.712334212091264, 6.220732532363602,28, 80
105,863733,125007,2,50.2442098634875, 28.44675331888105, 3.706963295279066,18, 71
105,71238,35007,2,46.03733541291825, 28.439174325118255, 2.6968671877494805,12, 64
105,645284,80003,2,47.402586863160614, 20.936608037340676, 6.517377519780039,39, 91
105,617514,25003,2,48.69665441671554, 24.257227807380296, 5.52811705720068,13, 66
105,897084,140016,2,47.676264217414946, 24.998659886708772, 3.812068804247698,9, 51
105,956636,40092,2,50.07834475857805, 24.668865359640755, 2.9976190189386362,25, 78
105,785823,210115,2,47.60280073336071, 25.346938638525433, 8.280309187436973,3, 56
105,856710,190076,2,47.54050935059804, 27.7880078416767, 6.074568720356762,22, 74
105,995779,116,2,46.79049489163188, 27.182497831028705, 3.88221771612682,22, 75
105,91899,205044,2,48.804152933088716, 25.59296091040522, 2.0310768275344855,13, 65
105,818885,55017,2,47.8505162879482, 22.64534689783312, 7.225362706385765,11, 63
105,824430,20228,3,43.70857565960265, 34.208245750083954, 5.202969221589922,15, 47, 88
105,352502,10048,2,48.54496990590192, 27.828715593802322, 3.2328478890430503,33, 86
105,268745,150136,2,49.835113023301254, 23.863478798766142, 5.170963479966287,14, 67
105,240082,115030,2,46.140903042969555, 23.858575164257843, 3.953433922629318,33, 86
105,202089,220032,2,47.87678749466814, 27.789532960651908, 3.292879143208363,0, 53
105,405469,30040,2,49.65422453169024, 24.93671366511905, 5.580979470129792,27, 79
105,205948,155044,3,41.54358877403694, 32.10461460289501, 8.192585223997302,2, 34, 67
105,979637,90044,2,47.39968384310815, 24.150676162011873, 2.699812226165106,20, 73
105,363281,75081,2,49.74331410386123, 23.980215768030494, 4.952157400426092,26, 78
105,318223,110056,2,49.03436918587751, 24.39329523396506, 3.5892746439209984,36, 89
105,29897,230124,2,46.93889294777745, 25.400630878992153, 3.067082498793878,5, 58
105,731021,95057,2,44.7372031942883, 25.937664445996962, 5.978292096910802,13, 65
105,84546,15093,2,41.866838304856486, 30.129793375383656, 6.553840064198037,27, 79
105,862416,70070,3,42.402230200890365, 33.152525927227266, 6.949513433765973,0, 43, 75
105,650868,50060,2,50.58000834234076, 26.349631165855904, 3.6887347822966983,8, 61
105,219464,200049,2,44.56123026273412, 27.473317084281092, 4.1097940627947604,17, 60
105,70876,105129,2,46.652508772835716, 26.62218145900405, 8.950206836183186,30, 82
105,443949,160062,2,45.38477642585832, 25.212836004876326, 7.457020389650448,30, 82
105,239278,60050,2,48.49646651559898, 26.77036629958756, 2.43143521204466,33, 86
105,464667,185067,2,48.17467468134763, 23.11754507280163, 4.543643661100377,16, 69
105,53504,130099,2,46.31484991171487, 28.004936379219828, 3.81596769988769,27, 79
105,883748,100151,2,49.830898339551304, 28.17994829048006, 5.136069127870052,4, 57
105,602223,180082,2,48.83808092218987, 24.278452523734256, 5.136933339689056,21, 73
105,683976,65145,2,46.64356598979369, 26.889347597385296, 4.284608638623253,36, 88
105,405523,45142,2,49.91187975794354, 26.838335901412854, 2.1192775321207766,2, 55
105,403115,120104,2,46.94979547688813, 27.03452106675922, 2.486991805768362,19, 71
105,593059,175084,2,46.78752361588838, 22.621257646694215, 3.7050481799306407,25, 78
105,898532,5038,2,46.78027734929249, 22.7818999165001, 6.6767810015841205,28, 80
105,262841,235159,2,48.2769064828148, 26.688639282304447, 6.012233292906257,31, 84
105,784001,135169,2,49.123211191816324, 28.55687662340736, 2.754843433345727,22, 74
105,636084,170235,2,48.38237361392464, 25.955569766336147, 3.657989458379963,27, 79
105,710621,225160,2,47.43420454908847, 26.28118214302972, 7.122278398648615,31, 82
105,545124,85145,2,49.101162723029326, 26.50483464435186, 4.649288654757384,17, 69
105,303474,215203,2,44.070619641832664, 28.802185175047935, 3.6923812946493038,8, 60
105,981285,195063,2,50.18809423111292, 25.151807755978467, 4.78156082424921,8, 61
105,102806,145124,2,47.17969748015041, 20.85505037441327, 5.539150265687984,39, 91
105,642927,125007,2,47.87463060459518, 29.006272061658308, 2.3026922724303596,19, 71
105,454823,165116,2,47.000191999953856, 27.18726543044169, 4.039806396207095,12, 65
105,297309,190089,2,48.54889725985326, 26.98559753135791, 4.597557776596745,8, 61
105,826891,35007,2,46.67002795884493, 28.966720171570383, 4.440578226864321,11, 64
105,957256,80003,2,47.98658689619513, 25.852491814915542, 6.041465751750401,39, 91
105,112966,25008,2,51.07122119403525, 26.458006321170384, 4.721516034536434,17, 81
105,490403,40092,2,51.54743576943443, 25.111484756963105, 3.375148946339585,26, 78
105,607160,210115,2,48.34617669724671, 28.051489366591444, 7.603537055481069,3, 56
105,615385,175,2,47.05787370831661, 25.87645807628544, 2.6797639748141693,39, 81
105,320041,55017,2,47.72265706444825, 21.856227134039223, 4.408350023324081,11, 63
105,567672,205054,3,42.27790809691034, 36.23035723095182, 6.657670150687618,17, 49, 91
105,281403,10048,2,49.09703160272508, 30.1837347066682, 2.658514166298185,33, 86
105,572642,115030,2,46.63939242363236, 25.201810123482687, 3.5185346913187536,33, 86
105,969047,140204,2,47.50987017242037, 30.33518684655355, 3.632837337372704,4, 56
105,241140,30040,2,47.63063144215664, 25.264037083193436, 8.293713951187978,27, 79
105,711608,150191,2,50.028880553856084, 21.313487896737346, 3.639786892896521,38, 90
105,253742,220085,2,47.93661719806342, 25.225301047575353, 5.040130954791931,8, 71
105,92453,90064,2,49.56855651538193, 24.923789689209904, 3.189248817530229,36, 89
105,383983,15093,2,45.24934635170586, 31.23274211474875, 4.4308209210586815,16, 79
105,262884,110076,2,45.916736949054915, 24.926968379514403, 7.383777659232283,9, 61
105,714803,50060,2,48.71692669336958, 26.40135408046634, 3.6966324531085033,8, 61
105,259319,200049,2,49.128806432766986, 25.672330782880756, 3.4989941458685925,7, 60
105,739004,230182,2,43.2728505976942, 30.28279703378972, 5.639940611131256,34, 87
105,221349,105129,2,48.49272926267968, 26.6993650778407, 6.123461843864182,30, 82
105,305564,160062,2,44.57694885891584, 26.67165062464767, 5.023118770204043,30, 82
105,720782,60050,2,46.76776464538559, 24.672037165199324, 4.536329165930475,34, 86
105,962245,75174,3,43.656061177618284, 25.878748101655766, 12.456616877161375,15, 39, 79
105,945510,130099,2,50.99053005224751, 29.5483364615261, 2.8360053761861184,17, 79
105,762458,100151,2,48.424767261874635, 28.762022260628957, 5.753388609234412,4, 57
105,206349,185078,2,48.69160986433561, 21.85646590240731, 5.779581553979435,38, 91
