,1/50bp,,,,,,,,,1/100bp,,,,,,,,,1/200bp,,,,,,,,
N(bp),PA1_all,PA2_all,PA3_all,PA1_2HU,PA2_2HU,PA3_2HU,PA1_3HU,PA2_3HU,PA3_3HU,PA1_all,PA2_all,PA3_all,PA1_2HU,PA2_2HU,PA3_2HU,PA1_3HU,PA2_3HU,PA3_3HU,PA1_all,PA2_all,PA3_all,PA1_2HU,PA2_2HU,PA3_2HU,PA1_3HU,PA2_3HU,PA3_3HU
109,44.45708415,30.71777494,7.465742225,48.94925329,26.32207205,6.632793019,42.46690777,34.17650273,6.638204326,46.72650585,28.67376355,6.93560552,48.89764605,26.29439573,6.75334384,42.48078709,34.0057907,6.747640533,47.73105279,27.63932315,6.724459463,48.93640998,26.17487562,6.741377479,42.47861929,34.2524979,6.465919649
110,43.46723596,30.87903074,8.852585902,49.38895004,25.71550886,7.573637728,42.86558775,33.82379119,7.135834121,45.92675059,29.20884825,7.905840176,49.27220304,25.54331017,7.787703718,42.82711156,33.86830517,7.068684682,47.51280512,27.59041561,7.783027993,49.25521018,25.46218118,7.807759718,42.93176526,34.16352994,6.97155525
111,42.47892218,30.23808729,10.61030359,49.52973788,24.77526985,8.637976378,43.13197351,33.47191565,7.717779502,45.25083402,29.05559828,9.178996176,49.47053407,24.57971316,8.774195172,43.12948403,33.34791344,7.846963258,47.25002228,27.28318837,8.781120739,49.52919589,24.4675017,8.877429405,43.20620166,33.48346353,7.692318368
112,41.51644605,28.68138486,12.91923166,49.96179844,23.38689939,9.611287033,43.64814762,32.09895794,8.812680553,44.35401418,27.79304648,11.22173167,49.88398791,23.15967861,9.875419663,43.63765147,31.89976574,8.940745338,47.04677622,25.68698055,10.48031347,49.90169629,22.93988999,10.03289131,44.08789649,31.39112259,8.918558748
113,41.84273825,26.78894402,13.78384856,51.08215839,24.13943679,7.31289295,44.42807016,29.15285106,10.56119848,45.46047634,26.16524439,11.09337334,51.05806695,24.32668315,7.331519919,44.33804673,29.40667276,10.45047926,49.05206093,25.03960534,8.719343749,51.01877733,24.23898374,7.383397429,44.58571516,29.2929804,10.46446397
114,46.49911452,25.72836674,10.43992077,51.72393325,26.25955224,5.564348712,46.08210209,26.35744219,11.73815748,50.31619933,26.07841798,6.951466301,51.76728603,26.16134191,5.613683006,45.69048667,26.84928331,11.69284582,51.28593023,26.17604202,6.17837799,51.64254859,26.21169246,5.830258472,46.22559571,26.28503347,11.96300874
115,50.00419891,27.06706456,7.217280647,52.12221544,27.15320067,5.222845275,46.33386891,30.18647681,9.624300705,51.51881529,27.3730443,5.628895587,52.10723132,27.3096121,5.089348842,45.93450815,30.14987142,10.03931081,52.01375976,27.18884848,5.272723849,52.16259326,27.14592441,5.135178832,46.73742862,30.028397,10.10070635
116,50.51379174,28.57361731,6.482834207,52.43814477,27.81155623,5.123592212,46.10294907,33.29883184,7.98064032,51.82301185,28.37101528,5.425154796,52.44750489,28.00558825,5.052285493,45.85785033,33.68971008,8.011582006,52.24096835,27.95488995,5.222325707,52.44057972,27.82361077,5.102595548,46.18518021,33.2607885,8.326978296
117,50.28691977,29.92457874,6.583545142,52.81351288,28.1764067,5.34236074,45.9492697,35.17395661,7.300422635,51.83645619,29.05405538,5.742051442,52.79740194,28.28450714,5.347552493,45.90273666,34.95587066,7.399577833,52.39189988,28.49501894,5.530776421,52.79129112,28.1308428,5.383054855,46.2085257,34.88487996,7.359328291
118,49.77774471,30.97548192,7.102654527,53.06955196,28.33243201,5.887667467,46.16144423,35.82393874,7.080882402,51.65217561,29.66691277,6.346941561,53.02327682,28.39241503,5.978861618,46.13628836,35.81457785,7.076529674,52.42609644,28.99392545,6.105303777,53.08892814,28.33073633,5.950143324,45.9191866,35.90882099,7.353088595
119,48.89673869,32.06313898,7.869183799,53.3478435,28.19934569,6.627343434,46.3779444,36.17952314,7.167926176,51.32020194,30.21848695,7.062428566,53.38170358,28.15837714,6.709902014,46.37348091,36.07987245,7.221167248,52.31841333,29.31216652,6.810472308,53.40002949,28.12028127,6.718627317,46.27197066,36.3842458,7.003101352
120,47.8490336,32.66136698,9.039169425,53.58265154,27.93697306,7.497344978,46.4822736,36.24759277,7.582046474,50.65188278,30.84613849,7.921470897,53.7126935,27.53517282,7.708446931,46.56744948,36.43037179,7.338783478,52.06643071,29.43092941,7.767554695,53.7216094,27.56946391,7.678257137,46.58433767,36.33215973,7.546827928
121,46.6137622,32.72534446,10.58096051,53.97995433,27.03910034,8.613924654,46.72133051,35.91778631,8.166596553,49.81496745,31.02889042,9.122270024,54.0080038,26.73065801,8.654717741,46.95443054,35.89653302,8.072135953,51.7580086,29.20787692,8.796416468,54.00359757,26.52809485,8.839783876,46.98070345,35.8700704,8.02674915
122,45.51225646,31.62733843,12.54351947,54.27744607,26.04162521,9.578846951,47.27096918,34.94803341,9.010297214,48.90092898,30.3846682,10.64495037,54.29853013,25.30527481,9.878155907,47.26270039,34.97600017,8.887837722,51.50425852,28.29612813,10.01895478,54.36813789,25.11754193,9.914717224,47.34602409,34.70240665,9.053657671
123,44.94760165,29.48304897,14.34708519,55.04747935,24.12237607,10.07301308,47.94848036,32.648433,10.4780945,48.1877941,28.8264014,12.37520606,54.97496414,24.16668602,10.06029144,47.59092666,33.01507453,10.29662995,51.55270524,26.7679762,11.04432278,55.07234046,23.93261748,10.11233963,47.35228756,32.91075359,10.54309107
124,46.26827348,27.65516462,14.27116732,56.21064839,26.49300632,7.159057405,49.00592093,28.90634021,12.2656127,51.57039664,26.92233995,10.48361143,56.2532604,26.134572,7.139632824,48.97253194,28.94775583,12.11449396,54.9025289,26.31093654,8.171967948,56.30669427,26.07574283,7.129064582,49.00546793,29.09588676,12.08118331
125,50.87151373,27.37332309,11.07274133,56.73417795,27.93684409,5.992066873,50.65114102,28.59631099,12.04492473,55.2423362,27.91701279,7.223904248,56.72013012,28.00905476,5.926146587,50.363754,28.7270791,12.00953775,56.35498319,27.94498723,6.33410642,56.75310066,27.94127115,5.976714634,50.54962651,28.66934335,11.91907246
126,53.59499009,28.93842597,8.600727851,57.15230002,28.87353352,5.643720377,50.45993277,32.83312285,9.92802922,56.19011698,29.04045262,6.351183951,57.13644278,28.89493367,5.59988157,50.45168275,32.70005123,10.09065994,56.76256083,28.89977204,5.935108234,57.09351436,28.78077424,5.702331404,49.9433693,33.63155611,10.01612312
127,54.11723509,30.59778301,7.910817265,57.41747563,29.53270242,5.648226694,50.06749686,35.54773187,8.797828401,56.38935829,30.09178437,6.276929522,57.39649334,29.53594418,5.696881765,49.94230945,35.71807976,8.931836145,57.0085779,29.86613306,5.8216082,57.43466274,29.53671929,5.624861165,49.86182604,36.12953192,8.67890429
128,53.85603684,32.00436411,7.978017796,57.76429852,29.60049222,6.079594509,49.84293853,37.37341462,8.174850495,56.34089054,30.86565621,6.622218407,57.71774833,29.81342918,6.09642795,50.18656505,36.92182495,8.114024903,57.1157977,30.29691205,6.287234828,57.73799222,29.74573408,6.102567775,49.85580891,37.47046281,7.98072209
129,53.31715383,33.28704137,8.469466505,58.07055466,29.63614541,6.778710044,49.95710406,38.21850205,8.051960276,55.90001539,31.72814696,7.250015289,58.02693311,29.79068578,6.713065058,50.17644896,38.14805445,7.895328634,57.0276899,30.69843831,6.992068007,58.04283262,29.6763047,6.83278124,50.01684029,38.29430232,7.749724253
